Gene,EntrezID,7_C,8_C,9_C,10_C,11_C,12_C,13_C,14_C,15_C,16_I,17_I,18_I,19_I,20_I,21_I,22_I,23_M,24_M,25_M,26_M,27_M,28_M,29_M,30_M,31_S,32_S,33_S,34_S,35_S,36_S,37_S
CEP57,9702,5.1796802,5.1495102,5.2436514,5.40267,4.987451,5.2715196,5.3201184,5.0926106,5.0513138,5.1179074,4.9286252,5.4111348,5.3355632,5.1526444,5.1418094,5.2393116,5.0244766,5.1212388,5.1030874,5.2771286,5.1989106,5.485732,5.1339064,4.9509678,4.8896472,5.391502,5.0294112,4.9944888,5.0983816,5.0702952,5.3656082
CEP63,80254,5.217228,5.3950815,5.187411,5.3356865,5.3475915,5.1788985,5.2799645,5.240534,5.323331,5.4262685,5.3017365,5.1106535,5.396319,5.6218875,5.3349425,5.3336815,5.142236,5.2824615,5.2786905,5.169223,5.1351615,5.6276035,5.335664,5.418922,5.222677,5.426082,5.1599905,5.075296,5.304163,5.3393185,5.53259
CEP68,23177,6.899255333,7.199134667,7.269206667,7.142122,6.825363,6.832700333,7.042526,6.739242,6.582578,6.777418667,6.308275,7.108232333,7.154285333,7.040161667,7.007806,6.863111333,6.608261,6.70795,7.126285,7.241463,6.897569667,7.078551,7.070308667,6.721827667,6.805468667,6.901778,6.565260333,7.12691,6.768257667,6.474565,7.05011
CEP70,80321,6.839948,6.568505,6.278038,6.715023,6.671202,6.924103,6.610989,6.856074,6.649253,6.864899,6.68122,6.722371,6.408559,6.501499,6.718818,6.626189,6.932353,6.727651,6.706173,6.732275,6.714656,6.824522,6.759579,6.641476,6.775574,7.088815,6.813714,6.83132,6.727651,7.021344,6.632807
CEP72,55722,5.772909,5.919807,5.964134,5.9815,5.81035,5.722098,5.960438,6.050009,5.837658,6.076381,5.79745,5.777956,5.896722,5.629474,5.848313,5.686607,5.72854,5.859301,5.423099,6.007698,5.734358,5.695434,5.719294,5.66063,6.291378,5.928851,5.633457,5.715119,5.848313,5.965817,6.096781
CEP76,79959,4.147239,4.4695635,4.26451,4.495237,4.2344395,4.2750545,4.311295,4.226802,4.138416,4.339058,3.873961,4.3236225,4.276138,4.418992,4.119353,4.1446205,4.1919705,4.151467,4.2675775,4.341777,4.0535965,4.1910915,4.131199,4.031173,4.2662365,4.8530135,3.99352,4.3684245,4.1403755,4.0429845,4.296638
CEP83,51134,4.412956,4.638668,4.487334,4.231698,4.493621,4.561761,4.659561,4.254222,4.237816,4.315016,4.343347,4.480198,4.371488,4.287118,4.426643,4.304622,4.279623,4.404166,4.375779,4.270715,4.20329,4.536351,4.390612,4.385605,4.171958,4.128432,4.15128,4.040527,4.400049,4.26138,4.22738
CEP85,64793,8.019235,7.61536,7.502578,7.885806,8.019235,8.052636,7.756909,8.123446,7.910006,8.133125,8.395109,7.725084,8.120125,8.1484,8.074143,8.122238,7.9172,7.827214,7.887258,8.14028,7.79136,7.742285,7.670556,8.101144,8.320468,8.032612,8.311382,8.071207,8.162445,8.311181,8.248343
CEP97,79598,4.169229,3.975366,4.01209,4.090426,4.149926,4.254851,4.154193,4.252831,4.159476,4.269759,4.090603,4.015418,4.063168,4.252302,4.038565,4.205459,4.070709,4.11939,4.187475,4.038421,4.092801,4.009143,4.148376,4.470332,4.271712,4.091983,4.583889,4.048344,4.230905,4.319547,4.11164
CEPT1,10390,7.901747,7.334256,7.484239,7.76823,7.994806,8.155019,7.586083,8.106722,7.637078,7.381301,7.383214,7.890691,7.514538,7.91415,7.759236,7.816233,7.662211,7.66893,7.934793,7.642766,7.597166,7.790499,7.725135,7.776256,7.199728,8.271825,7.173802,6.913504,7.498525,7.236387,7.267245
