Gene,EntrezID,7_C,8_C,9_C,10_C,11_C,12_C,13_C,14_C,15_C,16_I,17_I,18_I,19_I,20_I,21_I,22_I,23_M,24_M,25_M,26_M,27_M,28_M,29_M,30_M,31_S,32_S,33_S,34_S,35_S,36_S,37_S
PARP3,10039,5.770329,5.584143,5.713322,5.863792,5.85953,5.802663,5.904005,5.627603,5.691808,5.514244,5.713815,5.695002,6.044951,5.916244,5.593168,5.919097,5.79147,5.845156,5.796204,5.765735,5.454764,5.549715,5.713322,5.394392,5.583612,5.494694,5.85898,5.588381,5.762931,5.361666,5.712728
PARP4,143,7.352233,6.736202,6.625325,6.717543,7.196063,7.178975,6.900749,7.411736,7.126481,7.065317,6.735118,6.68413,7.137483,7.606326,7.343022,6.678961,6.705275,6.833251,7.138756,6.70599,6.746684,7.507681,7.492472,7.45821,6.842823,7.518858,6.736469,7.080227,7.296791,7.257006,6.849458
PARP6,56965,8.504276,8.613284,8.834485,8.799047,8.660177,8.63018,8.62348,8.600925,8.626562,8.61903,8.155014,8.519421,8.423313,8.647739,8.358965,8.734138,8.889504,8.718705,8.723678,9.028946,8.545395,8.428133,8.646304,8.337665,8.62348,8.715234,8.969674,8.545579,8.742398,8.336107,8.576352
PARP8,79668,6.727418,7.270066,7.688728,6.531088,6.587464,6.908798,6.889088,6.871121,6.612583,7.138136,6.522881,7.159445,6.769501,6.561618,6.541688,6.93281,6.810912,6.689965,6.576135,6.577675,6.678043,6.727716,6.686462,6.692849,6.771968,6.727917,6.676485,6.98985,6.722723,7.117973,6.713604
PARPBP,55010,3.763318,3.759085,3.808903,3.642028,3.677979,3.647053,3.692867,3.762518,3.750618,3.701715,3.883916,3.716326,3.739644,3.522097,3.735223,3.685484,3.710882,3.657463,3.704113,3.737976,3.662607,3.62863,3.716326,3.745465,3.734253,3.531122,3.875517,3.745804,3.796182,3.716326,3.673897
PART1,25859,6.117017667,6.590697,5.998449667,6.132569,5.942788333,6.093675667,5.958754333,6.191894,6.247291667,6.450135667,6.694233667,5.744797333,5.888565,5.984934333,6.030346,6.315036333,6.289,6.188132333,5.991179333,6.231257333,5.801163,5.909639333,5.968461333,6.184378667,6.247129333,5.750070667,6.484597667,6.180075667,6.073338,6.259366667,5.819743
PARVA,55742,6.87506475,6.80795325,7.10175475,6.97178,6.91320125,6.848073,6.7973195,6.973978,7.003863,6.9582955,7.324658,6.98837225,6.9223095,6.8673875,6.9734105,6.970437,6.942879,6.95755425,7.03528775,6.974075,6.98015875,6.89413325,6.710344,7.004827,6.89881125,6.692861,7.12546625,7.04798475,7.24855975,7.08324275,6.704525
PARVB,29780,5.3518946,5.3219722,5.3473368,5.464071,5.4129142,5.6343738,5.2383012,5.3592546,5.4702964,5.3254552,5.7118858,5.5024664,5.2454292,5.2966158,5.4996644,5.4067662,5.5525346,5.4276238,5.5012646,5.4864672,5.3028394,5.1701044,5.3258158,5.4060616,5.5479092,5.3190792,5.5919578,5.3294672,5.361454,5.4331466,5.3555652
PASK,23178,6.225203,6.055163333,6.297806333,6.335942,6.449492333,6.379327,6.276884333,6.375108333,6.403193333,6.693899,6.484699,6.310377667,6.259334333,6.165978,6.224767667,6.321882333,6.53292,6.278348333,6.221066667,6.490092333,6.307879,6.101623667,6.228855667,6.230178,6.495039667,6.283485667,6.546377333,6.445123333,6.303779667,6.507230667,6.232527
PATJ,10207,3.699541667,3.708752333,3.780049667,3.735199,3.755592,3.709166,3.684593667,3.661365333,3.582434333,3.789293333,3.957492333,3.739001667,3.628022333,3.676541333,3.680651667,3.723405,3.739686333,3.799783333,3.755653333,3.789010667,3.721165667,3.742529667,3.772293,3.777107667,3.745171333,3.600136,3.956576333,3.878317,3.778413333,3.808717,3.701915667
PATZ1,23598,5.985802167,5.775778667,5.880094833,5.7743495,5.9812695,5.969698667,5.915717833,6.0687195,6.084006667,5.962171667,6.246385,5.898795333,5.947106167,6.033140333,5.985291833,5.910841833,6.0018855,6.001337167,5.937648,5.973096333,5.970609667,6.042908,5.937208333,5.968545167,6.023186,6.064364833,6.163491,6.0952045,6.099399,6.1150485,6.122014
PAWR,5074,4.91277775,4.798566,4.713856,4.88447725,4.791475,4.70585975,4.678918,5.091691,4.9385205,4.7874485,5.013393,4.833684,4.81889675,4.799543,4.828702,4.8639035,4.9951355,4.88656575,5.059422,4.840314,4.909594,4.87691925,4.83248125,4.90310925,5.03405875,5.0261815,5.09246525,4.94588575,5.1200965,5.087013,4.82508075
PAX1,5075,6.40392,6.366073,6.3803,6.096748,6.121916,6.24183,6.258143,6.523847,6.318114,6.489168,6.517822,6.16129,6.07538,6.384562,6.278629,6.36024,6.437226,6.199684,6.352119,6.303061,6.193653,5.933572,6.222321,6.294514,6.572502,6.295619,6.651401,6.402357,6.384466,6.669171,6.201036
PAX2,5076,5.5562765,5.6750135,5.8160295,5.304145,5.6712205,5.5034915,5.573074,5.630845,5.667544,5.6631075,5.881362,5.519384,5.4715965,5.4819525,5.6601185,5.6942425,5.6183335,5.4974405,5.4229725,5.5204975,5.706195,5.472253,5.52631,5.586251,5.5851855,5.5404025,5.9014515,5.824993,5.7030425,5.7237725,5.637225
PAX3,5077,4.841126333,4.716576,4.851518667,4.619163,4.774373,4.784822333,4.708400333,4.874688333,4.774796333,4.817509333,5.262942333,4.802393333,4.650595333,4.622407333,4.649835667,4.861400333,4.708134,4.775596,4.795955,4.805663333,4.689756667,4.565129333,4.636842667,4.812166333,5.111876,4.628330667,5.036647,4.744455333,4.880832,4.993448667,4.652963667
PAX4,5078,4.7123115,4.6925385,4.9321405,4.6721485,4.8878035,4.695354,4.648459,4.909748,4.8532065,4.9997635,5.412872,4.550567,4.705484,4.8527885,4.7723445,4.9418815,5.0170985,4.819131,4.8140235,4.763626,4.6376715,4.559186,4.797799,4.723062,4.892225,4.6350655,5.166648,5.1078235,5.1956205,5.248778,4.6827475
PAX5,5079,5.639163,5.5248395,5.6184055,5.393412,5.508614,5.4381385,5.5914955,5.6170135,5.530778,5.7295865,6.263989,5.4394045,5.57117,5.5956495,5.5331985,5.6279625,5.6732175,5.618385,5.6713705,5.513165,5.700304,5.4506935,5.5423725,5.574336,5.7585335,5.519518,5.934058,5.9375815,5.5938995,5.8984385,5.5083945
PAX6,5080,8.887038,8.200768,8.725597,8.442745,8.864031,8.640787,8.447845,9.263338,9.167872,9.085261,9.056,8.530253,8.928783,8.684466,9.215955,8.307355,9.102767,9.047653,9.771417,8.886243,9.249333,9.547259,8.448345,9.040667,9.440225,9.794913,9.349006,8.862802,9.903384,9.454834,8.623876
PAX7,5081,5.5069,5.511434,5.445773,5.245271,5.3862,5.469119,5.339699,5.529461,5.51338,5.456153,5.890225,5.282098,5.405775,5.504196,5.433707,5.543478,5.488746,5.450296,5.351937,5.545698,5.377619,5.090235,5.29068,5.638445,5.480182,5.104718,5.654561,5.388227,5.388179,5.511362,5.580357
PAX8,7849,6.08531027,5.952409647,5.937670008,5.828827672,6.045601686,6.000809578,5.944949605,6.137915237,6.102210887,6.045189686,6.424427153,5.984070806,6.062838383,5.917568214,6.053866161,6.152371296,6.232422205,6.011262196,5.996429842,6.05662998,5.971313336,5.943843927,5.963444302,6.107624007,6.011361792,5.967300805,6.462047259,6.239739861,6.233535964,6.259462441,5.871457744
PAX9,5083,4.593217,4.743139,5.148181,4.868168,5.05404,4.828497,4.737003,4.72673,4.965669,4.933587,5.500009,4.733439,4.984301,4.919008,4.880853,4.958426,5.054679,4.933587,5.013885,4.955085,4.967446,4.752135,4.989052,5.083795,5.331106,4.871412,5.606537,4.991319,5.160251,5.39782,4.921506
PAXBP1,94104,6.752868,6.601529,6.581137,6.640164,6.5889845,6.696449,6.527763,6.712693,6.5690275,6.8040165,6.5124455,6.486717,6.470102,6.8836985,6.6114915,6.6565025,6.5850895,6.5419575,6.6181035,6.5749805,6.6189925,6.754316,6.599993,6.882722,6.854141,6.912276,6.496682,6.7887355,6.940638,6.9323755,6.6862555
PAXIP1,22976,4.66935,5.016907,4.997706,5.131224,5.107495,4.768373,4.562875,4.971738,5.050923,5.130562,4.613499,4.591641,4.680957,4.883556,4.916814,4.959279,4.41757,4.803023,4.915219,5.002291,4.896566,4.95946,4.994627,5.02343,5.375483,4.781598,4.362445,4.647089,4.715249,4.830931,4.621444
PBK,55872,3.572685,3.604076,3.670795,3.516548,3.686264,3.674884,3.759027,3.686264,3.615135,3.768365,3.908216,3.457166,3.63606,3.684576,3.686264,3.601705,3.756905,3.673217,3.622037,3.603038,3.650653,3.585242,3.775728,3.644996,3.700028,3.710565,3.949956,3.67736,3.707262,3.754816,3.704829
PBLD,64081,4.643549,4.642693,4.793481,4.46455,4.995767,4.556852,5.197086,4.429761,4.862975,4.450464,4.940133,4.958084,5.292719,5.252937,5.516854,4.685942,5.036799,5.361924,4.83943,4.722332,4.847518,6.206283,4.9937,4.506713,4.336492,3.97644,4.83943,4.522753,5.184666,5.017002,5.973906
PBOV1,59351,4.467537,4.345341,4.431925,4.083666,4.336072,4.441498,4.296217,4.434817,4.369031,4.373943,4.956699,4.225268,4.330277,4.233515,4.405887,4.498353,4.448551,4.281128,4.415914,4.207431,4.337366,4.276227,4.264212,4.48116,4.430186,4.130882,4.800284,4.527179,4.483334,4.618668,4.252029
PBRM1,55193,5.1878675,5.3020705,5.4371215,5.384996,5.456407,5.329983,5.176066,5.4304845,5.33733,5.39377,5.7060495,5.187831,5.371432,5.462555,5.501014,5.370577,5.799158,5.4182225,5.657851,5.4310615,5.59416,5.676614,5.714683,5.56802,5.3375645,5.2561685,5.8477985,5.339674,5.5350255,5.4607385,5.243865
PBX1,5087,6.95003725,7.37214425,7.30785775,7.15582575,6.93007625,7.1042,7.24305775,7.317082,7.07644825,7.18482425,6.81254025,7.36276075,7.201849,7.224067,7.28678475,7.1575245,7.01838375,7.35995,7.35926675,7.462425,7.030057,7.2471315,6.99904175,7.02189525,6.812009,7.083442,7.1563195,7.118708,7.15188925,6.87772,6.936385
PBX2P1,5088,6.52572475,6.4004675,6.620238,6.29848475,6.72431075,6.595079,6.464738,6.69239125,6.685909,6.58079025,7.241088,6.411145,6.58266575,6.49976425,6.66890675,6.64760625,6.792754,6.62891325,6.77167825,6.47722,6.68288625,6.4385295,6.64380125,6.77515325,6.63911425,6.303991,6.93648825,6.62438075,6.86320175,6.7682625,6.2015675
PBX3,5090,7.245527,7.143602,7.006536,6.863934,7.241511,7.638963,7.040238,7.640064,7.342464,7.122629,6.486604,6.953943,7.133852,7.590199,7.033155,7.423357,7.225492,7.176981,7.281519,7.064101,7.348519,7.710354,7.793437,7.392549,7.308921,7.687167,7.279746,7.006826,7.215745,7.215745,7.055448
PBXIP1,57326,7.919104,7.0444455,7.53428475,7.66727025,7.9770275,8.00529175,7.697427,7.9633225,8.16396325,7.40670075,8.43202575,7.777812,8.14064925,7.74231325,8.25535675,7.73798525,8.3694485,8.2771905,8.562719,8.18399225,8.64825275,8.538644,7.687368,8.19398475,7.585967,8.47403025,8.09449775,7.54071975,8.74090575,7.79867375,7.87198875
PC,5091,7.948858,8.287872,8.411637,8.329607,8.491165,8.502247,8.718511,8.714119,8.496699,8.198423,8.756004,8.706681,8.344189,8.580496,8.417242,8.504361,8.75747,8.675252,9.054847,8.500206,8.669008,8.372263,8.422368,8.217992,8.321319,9.007353,8.663667,8.408832,8.812359,8.502876,8.514065
PCBD1,5092,5.875602,5.730865,5.1867,6.140683,5.562422,6.270149,5.569191,6.023554,5.778741,5.652956,5.36576,5.751977,5.629235,5.569597,5.978023,5.807462,5.364039,5.643414,5.708616,5.615581,5.884953,5.97277,5.810193,5.604851,5.630648,6.804294,5.19234,5.592588,5.107814,5.576819,5.861542
PCBP1,5093,9.010883,9.210722,8.400517,9.220578,8.56094,9.325154,8.842645,8.727535,8.629458,8.490241,7.832975,8.807317,8.875884,9.289327,8.781741,8.722296,7.92343,8.584188,8.493152,8.351985,8.482316,9.241803,8.89946,8.926635,8.572888,9.785279,7.346205,8.88618,8.142654,8.594264,9.252215
PCBP2,5094,7.52070125,7.10428975,7.183487,7.45817925,7.5743975,7.40548675,7.4761495,7.707117,7.468371,7.280032,7.34605025,7.4178485,7.7150515,7.92888125,7.69490925,7.5104425,7.43855675,7.48070975,7.64391825,7.38389375,7.60867775,7.8252615,7.5529435,7.89456725,7.37560775,7.5185485,7.54245075,7.3992055,7.57173475,7.250319,7.87964575
PCBP3,54039,5.79828,5.644403,5.826033,5.723755,5.73743,5.5587,5.927449,5.784879,6.306929,5.837608,5.691985,5.994378,6.191331,5.727708,5.738804,5.939498,5.87964,5.947495,5.749117,5.929809,6.169361,6.061028,5.852401,5.87964,5.866999,5.813442,6.137332,6.096468,5.822533,5.672319,6.155798
PCBP4,57060,8.445958,8.244674,8.459836,8.221829,8.680571,8.624131,8.163871,8.736972,8.739092,8.645701,9.171155,8.305714,8.537245,8.909849,8.801294,8.34481,9.176318,8.919029,8.76746,8.881892,8.448618,8.817953,9.101067,8.706837,8.567508,7.963843,9.822608,8.203599,8.953511,8.754686,8.61523
PCCA,5095,4.5629745,4.581427,4.7679035,4.5759425,4.4654315,4.586712,4.582925,4.4156685,4.5719175,4.4339965,4.49816,4.7115285,4.477339,4.4749785,4.522363,4.6305085,4.2563265,4.4292185,4.539416,4.5010855,4.493445,4.426256,4.4113145,4.360587,4.5017785,4.5923185,4.355859,4.507176,4.268987,4.3418595,4.576782
PCCB,5096,6.981982,7.067851,6.253672,6.861826,6.189597,6.895254,6.979418,6.738616,6.464411,6.551197,5.981881,7.016116,6.593948,7.208785,6.858771,6.389199,6.489882,6.675409,6.369714,6.453552,6.258213,6.763947,6.630982,6.306384,6.348992,6.231583,6.165784,6.329844,6.245556,6.234933,7.183824
PCDH1,5097,6.235185,6.0045545,6.5640065,6.0125785,6.3562065,6.2166065,6.0873755,6.1497445,6.5604985,6.300578,7.319286,5.9443025,6.338176,6.256942,6.3722475,6.341163,6.5858455,6.2294915,6.4242255,6.171014,6.56154,6.14801,6.6228725,6.665591,6.355145,6.1038215,6.6577065,6.426438,6.433619,6.566332,5.959761
PCDH11X,27328,3.900147,3.798499,3.903863,3.834097,3.904414,3.734449,3.85093,4.014453,3.911037,3.831853,4.135293,3.657879,3.748643,3.854755,3.871671,3.914768,4.183093,3.903863,3.840562,3.806347,3.903863,3.891546,4.02533,3.903863,4.264134,3.80991,4.128374,3.864195,3.964763,4.127705,3.833916
PCDH11Y,83259,4.445356,5.012108,4.481751667,4.627617333,4.465192,4.267756,4.142105333,4.508188,4.519358333,4.373072667,4.29271,4.189491667,4.538977,4.238229,4.459439,4.387596,4.337993,4.261332333,4.288479,4.644186333,4.216176667,4.804254333,4.165601,4.215603,4.427092667,4.200402,4.528111333,4.375542333,4.359989333,4.358014667,4.171537333
PCDH12,51294,6.421422,6.500899,6.718524,6.29138,6.552076,6.527364,6.359952,6.730516,6.757464,6.875348,6.78612,6.486395,6.427232,6.483348,6.600682,6.702667,6.612494,6.614425,6.441799,6.536541,6.365426,6.23795,6.480254,6.606411,6.4165,6.274844,6.672335,6.732123,6.401907,6.674709,6.552076
PCDH17,27253,8.825848,9.277859,9.890436,8.931115,9.095792,9.102542,8.770852,9.171952,8.834615,9.160296,9.057222,9.107073,8.557495,9.183581,9.272837,9.289628,9.414703,9.536976,10.02869,9.260321,9.093195,9.062741,9.14918,9.379543,9.799899,9.160831,9.877899,9.331759,9.421554,9.093718,8.794085
PCDH7,5099,4.73921725,4.723443,4.92775525,5.00313575,4.84914025,4.801107,4.893548,4.80233625,4.910573,4.75254825,5.2354705,5.0931395,4.77187925,4.78607575,4.80432925,4.88015675,4.86096375,4.7568605,4.848109,4.9927575,4.868712,4.699454,4.63712875,4.713532,4.748839,4.57986375,4.8675705,4.8521775,4.72657075,4.88466675,4.6266665
PCDH8,5100,7.961984,10.00345,9.839752,7.337612,7.312926,7.895808,9.777043,6.591407,8.088964,7.13103,6.457505,9.482405,8.926374,7.011006,7.274994,6.400384,6.667255,8.316556,6.544691,6.506948,8.79995,7.732517,7.674672,6.375729,7.250637,8.849676,4.331482,8.84604,5.90061,5.832079,9.970189
PCDH9,5101,7.5946035,7.430384,7.84153025,7.85414375,7.76605925,7.9172815,7.28827225,8.0653085,7.7622795,8.06341175,7.6892835,7.35326575,7.522977,8.179913,8.0897365,7.6313235,8.11022075,7.83642275,8.4949445,8.106232,7.795262,7.9131275,8.2765495,7.98516425,8.0763435,7.757345,8.251566,7.78169325,8.19724375,7.7494135,7.57795775
PCDHA1,56147,6.915632,8.440379,8.07749,8.235846,6.88357,7.163504,7.523177,6.949855,6.372051,7.425594,5.737792,8.072024,7.430472,7.170207,7.297567,7.291897,6.333821,7.435827,6.981127,7.704515,7.105704,7.560539,6.748829,6.491078,6.36092,7.408867,5.535601,7.086668,6.690888,6.451143,7.423388
PCDHA10,56139,5.359155,5.358777,5.444727,5.214275,5.143302,5.011491,5.179038,5.183846,5.631095,5.088557,5.943661,5.193767,4.932763,5.37674,5.1494,5.152936,5.574482,5.322979,5.059076,5.113682,5.154841,5.178888,5.390085,5.583767,5.479275,5.027775,5.788699,5.41176,5.24115,5.602776,5.097967
PCDHA2,56146,4.365342,4.2935325,4.2951735,4.226326,4.2313995,4.279224,4.240365,4.406732,4.313674,4.493129,4.585482,4.0491645,4.3419425,4.293166,4.1210755,4.3848515,4.316853,4.222054,4.2792255,4.2580075,4.195404,4.0472705,4.207392,4.268129,4.4077005,4.2511605,4.584955,4.441781,4.3502045,4.5525505,4.2025865
PCDHA3,56145,6.353575,6.137201,6.104782,6.011602,6.259267,6.334722,6.227267,6.430797,6.429211,6.589015,7.075625,6.435789,6.560806,6.271204,6.347055,6.383778,6.623773,6.404844,6.185496,6.569847,6.418764,6.266718,6.394461,6.257385,6.476703,6.48201,6.954626,6.618864,6.418148,6.687722,6.429211
PCDHA5,56143,5.261636,5.267155,4.971273,5.035063,4.971247,5.130977,5.134506,5.18735,5.023211,5.168142,5.190866,5.253096,5.069922,5.020236,5.070171,5.241267,5.244367,5.033396,5.150887,5.178139,4.919861,5.091529,5.197527,5.342496,5.358284,5.046948,5.434802,5.486114,5.208556,5.308963,5.150887
PCDHA6,56142,4.184652,4.184652,4.273542,3.991227,4.186046,4.115891,4.237725,4.105539,4.150935,4.637962,4.875993,4.073798,3.946618,4.12195,4.022531,4.202404,4.225261,4.216354,4.088601,4.328363,4.02684,3.967967,3.974697,4.07302,4.054577,4.135156,4.820229,4.313833,4.467175,4.476948,4.236763
PCDHA9,9752,6.281116,6.022334,6.141481,6.126769,6.295279,6.281116,6.204865,6.595438,6.577421,6.231999,6.454908,6.058416,6.164493,6.142842,6.114762,6.271254,6.422375,6.518963,6.433565,6.656743,6.250148,6.182941,6.551884,6.50253,6.536521,6.057258,6.580102,6.297324,6.381691,6.486277,6.216309
PCDHB1,29930,5.722614,5.511712,5.354738,5.335425,5.599781,5.425815,5.604977,5.670431,5.902869,5.78138,6.177494,5.535554,5.536058,5.48314,5.651871,5.768524,5.708852,5.476181,5.695018,5.51783,5.51587,5.313584,5.536959,5.451335,5.743354,5.421128,5.921422,5.794591,5.825778,5.802913,5.555793
PCDHB11,56125,5.556921,5.751858,5.881534,5.269048,5.334724,5.503622,5.388997,5.691239,5.379809,5.786527,6.020545,5.495745,5.491618,5.3074,5.295936,5.383633,5.815771,5.515081,5.515081,5.469087,5.424252,5.462573,5.423326,5.575315,5.444196,5.298113,6.218764,6.051249,5.393336,5.887685,5.554213
PCDHB12,56124,6.980731,6.963802,6.798122,6.592915,6.646138,6.798389,6.631015,6.852423,6.852881,6.947071,7.224904,6.713708,6.613881,6.781049,6.69783,6.830781,6.947357,6.773962,6.876303,6.890731,6.830781,6.62123,6.897387,6.690636,6.858288,6.593872,7.352667,7.086601,7.020473,7.133056,6.692322
PCDHB13,56123,6.087212,6.179932,5.896808,5.766644,5.673161,5.793404,5.785092,5.843744,5.682857,5.948232,6.15676,5.635207,5.916921,5.668579,5.79214,5.759875,5.824412,5.8449,5.432277,5.824412,5.955364,5.881266,5.57957,5.824412,5.951054,5.857178,5.998951,6.256456,5.762354,5.987882,5.950379
PCDHB17P,54661,4.8063665,4.8904515,4.915949,4.5898805,4.777899,4.7734765,4.854264,4.98213,5.1409375,5.019524,5.391152,4.7367725,4.9248925,4.759629,4.7947775,4.8390085,5.023151,4.88533,4.895029,4.820991,4.8200785,4.682308,4.9234195,4.932206,4.820573,4.78903,5.271441,5.012093,5.070449,4.9757135,4.789967
PCDHB3,56132,6.090066,5.94897,5.906274,5.912116,5.714494,5.548559,5.718417,6.045425,6.073736,5.708156,6.228982,5.703073,5.677555,5.819976,5.591107,5.842275,5.823625,5.683545,5.883646,5.892593,5.84356,5.734293,5.959935,5.790223,5.96339,5.814722,6.165761,6.090177,5.913639,5.788007,5.763496
PCDHB6,56130,6.106215,6.423782,6.142681,5.867392,5.692703,5.80537,5.898711,6.236815,6.074669,6.4301,6.23863,6.093984,5.907975,6.117912,5.949449,5.969314,5.972246,6.024952,5.957903,6.028044,6.052366,6.024882,5.911811,6.268109,6.225906,6.074669,6.566826,6.589268,6.143339,6.478963,6.054362
PCDHB8,56128,3.790717,3.958324,3.84091,3.879278,3.889986,3.768793,3.812502,4.067055,3.85545,3.907411,3.986728,3.812279,3.859124,3.932632,3.828379,3.891517,3.837859,3.867533,3.912007,3.909264,3.845067,3.729378,3.906694,3.860272,4.122701,3.87275,4.181389,3.879278,3.909131,4.018591,3.788358
PCDHGA1,56114,9.4979346,10.3025258,9.8132828,9.4180544,9.6797522,9.534671,9.8895756,9.4936316,9.7002688,10.124961,9.774383,9.9260324,9.6817758,9.7799708,9.6452194,9.352816,9.6492372,9.8547212,9.739111,9.702231,9.6724962,9.7814928,9.0816544,9.3183256,9.0997376,9.4663032,9.2239152,9.7002206,9.5646254,10.2156306,9.5456146
PCDHGA10,56106,6.59615,6.195698,6.490612,6.305706,6.633984,6.493235,6.328936,6.5833,6.739101,6.702575,7.310485,6.296862,6.450936,6.679707,6.282365,6.859255,6.89943,6.677565,6.575684,6.512986,6.601142,6.43846,6.50917,6.735775,6.692114,6.456922,7.276266,6.743242,6.659072,7.280752,6.320088
PCDHGA11,56105,3.872271,4.052702,4.052852,3.951317,4.032316,3.836052,3.92211,4.093105,3.83812,4.061562,5.024287,3.942955,3.920911,4.019578,3.711737,3.972636,4.065689,3.946779,4.055051,3.915811,3.965753,3.929999,4.030674,3.893735,3.730903,3.743035,4.42301,4.144,4.093116,3.935997,3.762758
PCDHGA3,56112,5.50249875,5.680691,5.0284005,5.311789,5.03079275,5.47409975,5.6466215,5.33029525,5.217729,5.30724525,5.4369535,5.4229925,5.36809175,5.203681,5.37653375,5.301344,5.0718455,5.25231975,4.9535795,5.25989725,5.39843325,5.58815625,5.033539,5.36998125,5.25974625,5.427825,5.426001,5.34997975,5.0407925,5.38449,5.24211625
PCDHGA8,9708,4.020215,4.241644,4.291085,4.153943,4.217543,4.05152,4.03214,4.32434,4.221599,4.153612,4.144618,4.182621,4.039002,4.128696,4.190515,4.162842,4.266287,4.113641,4.589866,4.332047,4.11514,4.095038,4.202611,4.255109,4.397078,4.165715,4.388674,4.300152,4.362555,4.282045,4.265933
PCDHGA9,56107,5.718679,5.883644,5.95122,5.804759,5.80467,5.912547,5.812218,6.027992,5.627402,6.046156,6.134666,5.814925,5.602005,5.797716,5.842446,5.928942,6.011253,5.962074,5.820585,5.776135,5.707729,5.538492,5.58169,5.765361,5.978593,5.647336,6.572847,6.214247,6.216743,6.222489,5.884504
PCDHGB5,56101,7.418025,7.20682,7.44131,7.251525,7.498703,7.439933,7.242093,7.400568,7.740861,7.394432,7.76561,7.171211,7.395277,7.253093,7.513588,7.373553,7.613184,7.306309,7.779081,7.439933,7.382366,7.400299,7.425311,7.507203,7.608924,7.383975,8.028501,7.577461,7.645949,7.821345,7.225619
PCDHGB6,56100,4.348797,4.123723,4.313178,4.091926,4.327404,4.389201,4.272135,4.431095,4.252645,4.376597,4.675729,4.234782,4.517726,4.260714,4.138555,4.506751,4.409989,4.267007,4.313178,4.481475,4.284024,4.164273,4.14424,4.208683,4.313178,4.288953,4.885197,4.482051,4.43267,4.568145,4.279761
PCDHGC3,5098,4.997955,4.8998695,4.6726425,4.7766825,4.6797475,4.8234705,5.0171255,4.89658,4.877485,4.904918,4.773049,4.822691,4.94986,4.8553125,4.7961295,4.943478,4.841923,4.7887325,4.809221,4.7980125,4.961642,4.8951565,4.700563,4.7422945,4.9317505,4.8627945,4.981098,4.897754,4.7784705,4.801108,4.880198
PCF11,51585,6.862698,6.247683,6.942109,6.577715,6.921193,7.083624,6.594879,7.008131,6.862698,7.004817,6.932845,6.573373,6.327108,7.102714,6.580344,6.544266,6.687455,6.850419,6.947547,6.916132,6.897758,7.305774,7.517742,7.531085,7.211446,7.005526,6.57044,6.840247,6.987672,6.505693,6.43567
PCGF1,84759,6.7648675,6.934033,6.8376475,7.097289,6.8057235,6.9112715,6.939548,6.971291,6.7420885,7.050397,6.4372195,6.9490315,6.5925985,6.8841575,6.650227,6.9677075,6.542133,6.843626,7.0628475,6.923644,6.599378,6.6721225,6.822387,6.6774635,6.848805,7.131329,6.9561375,6.9592065,6.6089745,6.70804,6.8323285
PCGF2,7703,6.87422375,6.68880925,7.095041,7.21699425,7.09484225,6.8391355,6.816861,6.92573175,6.9738525,7.184983,7.121278,6.90821425,6.68167875,6.79774675,6.7698055,7.08236825,6.95255075,7.02314,7.239285,7.29496275,6.938069,6.77627725,6.87621575,7.02705125,7.1405775,6.884739,7.21205025,7.28059825,7.0968845,7.036975,6.6959915
PCGF3,10336,6.2091565,6.3173035,6.314551,6.3737295,6.023262,6.081663,6.2503805,6.0039785,6.3171045,6.470793,6.1240195,6.2525355,6.3623125,6.221899,6.2204095,6.1922585,6.2070355,6.253594,6.455569,6.321604,6.15922,6.160527,6.456797,6.4149425,6.237764,6.167553,6.4327395,6.2977265,6.1162075,6.2681135,6.4030955
PCID2,55795,7.224445,6.935624,6.961404,7.286775,7.060944,7.436763,7.120585,7.182267,6.955185,7.031145,6.379979,7.048218,6.925925,7.260466,6.968468,7.16407,6.827162,7.024122,6.952064,7.149684,7.144669,7.081066,7.077533,7.168456,6.7829,7.74042,6.308593,6.89964,6.621612,6.699967,7.204121
PCIF1,63935,5.70528025,5.61973625,5.63330325,5.61608825,5.64296275,5.59840425,5.686762,5.646081,5.8443925,5.630502,5.98323225,5.73902175,5.81221225,5.59600675,5.6688865,5.6279085,5.6854475,5.71748075,5.61289225,5.637661,5.646025,5.62264375,5.5081695,5.756148,5.7192715,5.44336075,5.79788025,5.80871825,5.703698,5.759076,5.65957
PCK1,5105,3.952462,3.733995,3.810226,3.589333,3.629904,3.690874,3.736082,4.248791,3.570306,4.765241,4.719375,3.994427,3.76995,3.710903,3.657652,4.714824,3.823655,3.816621,3.900375,3.59659,3.986796,3.558112,3.756337,3.811925,3.823802,3.931445,3.843621,3.774043,4.083536,3.766568,3.648619
PCK2,5106,5.748168,5.503176,5.510325,5.354456,5.707331,5.328349,5.575265,5.379877,5.478935,5.203334,5.471671,5.476674,5.429029,5.383183,5.338299,5.417404,5.629002,5.25902,5.602305,5.250529,5.207518,5.523702,5.124562,5.663637,5.68873,5.620024,5.547505,5.627248,5.725539,5.796785,5.570088
PCLAF,9768,5.4706725,5.3837045,5.718585,5.378994,5.8821485,5.2778625,5.438422,5.76346,5.6868945,5.695684,5.7734195,5.243298,5.4352655,5.5861785,5.531606,5.6902445,5.845436,5.397934,5.7943405,5.6702165,5.2740165,5.3776805,5.76363,5.7524105,5.7569735,5.318626,6.0123675,5.533156,5.9439185,5.9669405,5.3407905
