"","EntrezID","X21.1A.AD","X20.1T.AD","X23.2A.AD","X22.2T.AD","X26.3A.AD","X24.3T.AD","X27.5A.AD","X25.5T.AD","X29.6T.AD","X31.7T.AD","X28.8T.AD","X30.9T.AD","X18.10A.Old","X11.10T.Old","X19.11A.Old","X13.11T.Old","X15.13T.Old","X16.14T.Old","X12.6A.Old","X14.7A.Old","X10.8A.Old","X17.9A.Old","X2.12A.Young","X4.13A.Young","X6.14A.Young","X8.15A.Young","X9.16A.Young","X3.17T.Young","X5.18T.Young","X7.19T.Young"
"TMCO3",55002,522.2680501,438.9798561,659.0384034,636.7642032,675.4328377,855.5613208,845.5885343,933.565026,773.6672315,545.6341586,775.467354,503.7211003,598.6136347,826.7707639,597.6085997,481.7525529,613.277358,484.3056177,334.1798922,615.7785971,469.2616674,553.6771709,527.8607214,474.4891669,472.5232653,692.9128952,563.6768964,1025.703793,780.9521724,696.5431277
"PSG11",5680,3.340733796,2.009061126,3.013895137,5.49724492,0.993283585,7.787944402,0,8.604285954,4.322163304,5.236412271,2.238001022,6.1860486,3.78869389,2.818536695,5.553983269,2.416818827,5.776552823,12.48670101,5.554236435,9.896441739,4.529552774,5.962677225,2.122764295,0.90207066,3.849476703,1.077625031,13.82603708,2.681578543,4.314652886,0
"ECD",11319,338.5276913,321.4497802,288.3293015,345.4102225,326.7902994,308.1800856,240.4642394,335.5671522,316.598462,267.0570258,351.3661604,271.3024172,417.7035014,343.8614768,281.0315534,340.7714546,301.3435056,315.7351541,324.9228315,333.1802052,350.5873847,406.3138623,410.4010971,407.7359381,429.2166524,535.5796406,323.3165595,387.4880994,440.957525,276.7218956
"SNORD114-23",767603,2.227155864,4.018122253,1.004631712,0.916207487,5.959701509,1.112563486,6.606160424,0,6.483244957,5.236412271,2.238001022,4.418606143,2.841520418,3.758048927,3.332389961,4.028031378,0.962758804,5.351443289,6.479942508,6.597627826,0.905910555,2.555433096,2.830352394,1.804141319,7.698953406,1.077625031,2.127082628,1.340789271,2.588791732,4.738388624
"USP9X",8239,2689.290705,3170.298457,2616.060979,3525.566409,2677.892545,2347.508956,2770.623682,2583.436858,2382.592522,2438.073553,2808.691282,2745.721857,2965.600143,2314.958139,2792.542787,2709.253905,2229.74939,3364.274015,3866.674265,2473.01083,3643.572251,3689.19358,3955.41747,4083.673876,4085.257151,4490.463506,2765.207416,3503.482366,4182.624508,2509.450615
"FAM78B",149297,290.6438402,267.2051298,329.5192017,82.4586738,287.058956,288.1539429,224.6094544,122.6110748,181.5308588,406.3455922,147.7080674,263.3489261,160.0723169,291.2487918,238.8212805,174.8165618,308.0828172,255.9773707,301.7801797,266.1043223,363.2701325,191.6574822,244.1178939,338.2764973,355.1142258,59.26937673,278.6478243,60.33551721,73.34909907,191.4309004
"DNM3-IT1",100874284,11.13577932,13.05889732,7.032421987,28.40243209,5.959701509,35.60203155,19.81848127,13.98196468,11.88594909,12.56738945,17.90400817,15.90698212,7.577387781,6.576585622,15.55115315,9.667275308,4.813794019,4.459536074,10.1827668,12.09565101,9.059105547,9.369921353,4.24552859,7.216565276,7.698953406,25.86300075,8.508330512,10.72631417,18.12154212,7.581421798
"CASP10",843,71.26898764,65.29448661,96.4446444,144.7607829,50.65746283,91.23020586,108.341031,102.1758957,59.42974544,91.11357351,105.186048,81.30235303,74.82670434,88.31414979,243.2644672,154.6764049,89.53656876,52.62252568,82.38784046,115.458487,64.31964939,72.40393773,54.48428358,47.80974496,36.57002868,107.7625031,67.00310278,132.7381379,103.5516693,108.0352606
"CANX",821,4554.533741,4010.086008,3762.345763,5814.25271,3527.15001,3257.585887,4262.294706,5443.286402,3748.396126,3623.597291,3752.008713,4801.257435,5296.594059,3764.625513,3763.379063,4153.705957,3726.83933,5369.281434,5811.582724,4123.517391,4976.166677,6949.926211,5800.807231,5552.244909,5049.551065,6290.097308,5615.498138,5786.846495,7156.283277,4155.566823
"TCEAL4",79921,678.1689605,762.4386974,597.7558689,863.0674524,699.2716437,599.671719,548.3113152,907.7521682,847.1440077,540.3977463,557.2622544,644.2327757,1019.158657,666.1141723,790.8872174,799.1614255,789.4622192,959.6921632,759.0789795,824.7034783,905.0046442,988.1007972,1085.440143,1029.262623,960.4444374,696.1457703,925.2809432,738.7748885,689.4815312,843.4331751
"NOL7",51406,377.5029189,341.5403915,352.6257311,364.6505797,339.702986,325.9811014,334.2717175,460.3292986,378.1892891,383.3053782,335.7001532,327.8605758,373.1863482,436.8731878,345.4577593,357.6891864,343.704893,382.6281952,356.3968379,327.682182,328.8455314,401.2029961,495.3116689,391.4986662,346.4529033,410.575137,487.1019218,421.0078312,418.52133,384.7571563
"DZIP3",9666,1289.523245,1106.992681,936.316756,902.4643743,1012.155973,725.3913929,779.5269301,567.882873,812.5667012,856.6770475,754.2063443,972.9770727,1135.660994,676.4488069,991.9414118,920.8079731,859.7436118,1123.803091,1587.585914,975.3493137,1599.83804,1309.233556,1498.671592,1491.1228,1693.769749,744.6388967,927.4080258,728.0485744,944.0460515,699.3861609
"POLD4",57804,282.8487947,223.005785,365.6859433,232.7167016,278.1194038,320.418284,387.1210009,340.9448309,311.1957579,309.9956064,288.7021318,261.5814837,204.5894701,371.1073315,338.7929794,272.2949212,340.8166166,181.9490718,217.5409271,296.8932522,173.9348265,179.7321278,203.7853723,149.7437295,148.2048531,331.9085097,304.1728158,360.672314,288.2188128,369.5943127
"CYP4X1",260293,189.3082484,198.8970515,139.643808,103.531446,110.2544779,86.77995191,89.84378177,58.07893019,115.6178684,143.4776962,98.47204495,210.3256524,156.283623,97.7092721,184.3922445,138.5642794,174.2593435,222.0848965,231.4265181,140.7493936,328.8455314,183.9911829,217.9371343,264.3067032,332.0173656,14.00912541,227.5978412,29.49736397,72.48616849,139.3086255
