TFs,entrezID
DBX1,120237
ZNF641,121274
AEBP2,121536
ASCL4,121549
FOXN4,121643
HSF5,124535
ZFP3,124961
ZNF816,125893
ZNF543,125919
ZNF813,126017
ZNF441,126068
ZNF491,126069
ZNF440,126070
ZNF787,126208
ZNF573,126231
ZNF57,126295
ZNF428,126299
ZNF792,126375
DMBX1,127343
ZNF684,127396
ZNF648,127665
KLF17,128209
TSHZ2,128553
ZNF831,128611
ZNF280A,129025
OSR1,130497
ZNF513,130557
MTERF4,130916
KLF6,1316
ZFP42,132625
LIN54,132660
ZNF474,133923
POU5F2,134187
NOBOX,135935
ZNF786,136051
ZNF572,137209
NKX2-6,137814
NACC2,138151
ATF2,1386
ARID3C,138715
ATF6B,1388
CREBL2,1389
CREM,1390
HDX,139324
FOXR2,139628
ZFP92,139735
ZNF358,140467
CRX,1406
ZFP28,140612
ZBTB46,140685
ZNF280B,140883
ZNF664,144348
MESP2,145873
ZSCAN29,146050
ZFP90,146198
ZNF597,146434
ZNF785,146540
ZNF688,146542
ZNF480,147657
ZNF534,147658
ZNF578,147660
ZNF418,147686
ZNF417,147687
ZNF548,147694
ZNF560,147741
ZNF524,147807
ZNF784,147808
ZNF563,147837
SIX5,147912
ZNF420,147923
ZNF565,147929
ZNF582,147948
ZNF583,147949
ZNF599,148103
ZNF558,148156
ZNF98,148198
NKX2-5,1482
ZNF714,148206
ZNF681,148213
ZNF555,148254
ZNF569,148266
ZNF570,148268
CREB3L4,148327
ZNF362,149076
CCDC17,149483
TCF23,150921
ZNF385B,151126
ZNF827,152485
NFXL1,152518
ZNF595,152687
THAP6,152815
IRX2,153572
ZNF425,155054
ZNF746,155061
NKX6-3,157848
ZNF483,158399
ZNF782,158431
CBLL2,158506
ZXDB,158586
HSFY1,86614
DACH1,1602
ZFPM1,161882
ZFP1,162239
ZNF519,162655
ZNF836,162962
ZNF610,162963
ZNF600,162966
ZNF320,162967
ZNF497,162968
ZNF550,162972
ZNF296,162979
ZNF846,162993
ZNF579,163033
ZNF791,163049
ZNF564,163050
ZNF709,163051
ZNF433,163059
ZNF114,163071
ZNF567,163081
ZNF383,163087
ZNF781,163115
ZNF780B,163131
ZNF676,163223
ZNF100,163227
ZNF540,163255
DDIT3,1649
AEBP1,165
ZBTB49,166793
TIGD2,166815
ZNF366,167465
ZNF92,168374
ZNF679,168417
THAP5,168451
ZNF467,168544
BHLHA15,168620
ZNF800,168850
ZNF596,169270
ZNF169,169841
ARX,170302
ZNF525,170958
ZNF431,170959
ZNF721,170960
ZNF675,171392
DLX1,1745
DLX2,1746
DLX3,1747
DLX4,1748
DLX5,1749
DMRT1,1761
DNMT1,1786
DR1,1810
ARID3A,1820
E2F5,1875
E4F1,1877
NR0B1,190
ZNF367,195828
AHR,196
MYRFL,196446
ARID2,196528
ZNF778,197320
ZNF48,197407
ZNF627,199692
ZNF585A,199704
THAP8,199745
ZNF626,199777
ELF2,1998
FOXD4L1,200350
TET3,200424
TIGD1,200765
ZNF385C,201181
CENPX,201254
ZNF584,201514
TIGD4,201798
NAIF1,203245
EPAS1,2034
ZNF449,203523
USF3,205717
NR2F6,2063
ESRRG,2104
ETS2,2114
MECOM,2122
BPTF,2186
ZNF804B,219578
ZNF25,219749
ATOH7,220202
TIGD3,220359
ZNF438,220929
ZNF485,220992
ZUP1,221302
ZBTB9,221504
ZBTB12,221527
ZSCAN25,221785
JAZF1,221895
RFX6,222546
ZSCAN23,222696
FERD3L,222894
IKZF3,22806
IKZF2,22807
ATF5,22809
MTF2,22823
ZNF652,22834
ZFP30,22835
ZNF507,22847
ADNP2,22850
ZNF510,22869
DZIP1,22873
MLXIP,22877
ZHX2,22882
FOXJ3,22887
ZBTB1,22890
ZNF365,22891
ATF6,22926
FOXF1,2294
KIN,22944
SCMH1,22955
FOXD4,2298
KDM2A,22992
FOXE3,2301
SPEN,23013
FOXJ1,2302
ZNF292,23036
FOXE1,2304
MYT1L,23040
FOXM1,2305
ZHX3,23051
ZNF609,23060
FOXS1,2307
FOXO1,2308
ZNF423,23090
ZBTB43,23099
CAMTA2,23125
CIC,23152
CAMTA1,23261
ATMIN,23300
SATB2,23314
ZNF629,23361
ADNP,23394
ZFPM2,23414
OTP,23440
ZNF281,23528
FOSB,2354
ZNF346,23567
PATZ1,23598
ZIM2,23619
ZKSCAN5,23660
ZNF318,24149
NR5A2,2494
NR5A1,2516
ZNF396,252884
ZBTB38,253461
ZNF620,253639
EBF3,253738
LCORL,254251
ZNF718,255403
ZNF549,256051
PTF1A,256297
SCML4,256380
ZNF683,257101
ZNF324,25799
POU2F3,25833
ZNF345,25850
ZNF473,25888
AHCTF1,25909
ZNF521,25925
ZNF385A,25946
L3MBTL1,26013
ZNF451,26036
SETBP1,26040
ZNF500,26048
ZBTB20,26137
PHF19,26147
ZNF658,26149
ZNF337,26152
GATA1,2623
GATA4,2626
NR6A1,2649
HEYL,26508
NPAS4,266743
GFI1,2672
HBP1,26959
ZNF285,26974
AKAP8L,26993
FOXD3,27022
ZBTB32,27033
ZBTB11,27107
ZNF777,27153
SALL3,27164
AHDC1,27245
ZNF544,27300
GLI1,2735
GLI3,2737
GLI4,2738
ZNF311,282890
MKX,283078
FOXR1,283150
CHAMP1,283489
PROX2,283571
TERB1,283847
ZNF843,283933
ZNF547,284306
ZIK1,284307
ZNF776,284309
ZSCAN1,284312
ZNF780A,284323
ZNF575,284346
ZNF283,284349
TPRX1,284355
ZNF615,284370
ZNF841,284371
ZNF763,284390
ZNF844,284391
ZFP82,284406
ZNF493,284443
ZNF875,284459
ZNF326,284695
ZNF619,285267
ZNF621,285268
ZNF852,285346
ZNF660,285349
FAM200B,285550
ZNF454,285676
ZNF775,285971
ZNF789,285989
ZNF707,286075
ZFP41,286128
FOXD4L3,286380
KLF15,28999
ZBTB44,29068
THYN1,29087
ARHGAP35,2909
GTF2B,2959
GTF2I,2969
GTF3A,2971
REPIN1,29803
TFCP2L1,29842
PURG,29942
BAZ2B,29994
TLX3,30012
KCNIP3,30818
CXXC1,30827
HHEX,3087
HIC1,3090
HIVEP1,3096
HIVEP2,3097
ZBTB48,3104
HLX,3142
HMGA1,3159
HMX1,3166
HMX2,3167
FOXA2,3170
FOXA3,3171
TLX1,3195
TLX2,3196
HOXA1,3198
HOXA3,3200
HOXA4,3201
HOXA6,3203
HOXA7,3204
HOXA9,3205
HOXA11,3207
HOXB1,3211
HOXB4,3214
HOXB5,3215
HOXB6,3216
HOXB7,3217
HOXB8,3218
HOXB9,3219
HOXC4,3221
HOXC5,3222
HOXC6,3223
HOXD1,3231
HOXD3,3232
HOXD4,3233
HOXD8,3234
HOXD9,3235
HOXD10,3236
AIRE,326
HES1,3280
SNAI3,333929
FOXN2,3344
ZNF181,339318
ZNF260,339324
ZNF546,339327
MYPOP,339344
TFAP2E,339488
ZNF678,339500
ZFP69,339559
FAM170A,340069
ZNF680,340252
ZNF517,340385
HMX3,340784
ZNF774,342132
ZKSCAN2,342357
ZNF850,342892
LEUTX,342900
ZNF404,342908
ZNF284,342909
ZNF677,342926
ZSCAN5B,342933
ZSCAN22,342945
SP110,3431
MSGN1,343930
FOXI3,344167
ZNF860,344787
MSANTD1,345222
ZNF879,345462
ZNF391,346157
ZFP57,346171
ZNF81,347344
TBX10,347853
ZNF530,348327
ZNF713,349075
FOXD4L4,349334
ZNF429,353088
ZNF445,353274
ZNF233,353355
ZBTB41,360023
NANOGNB,360030
IRF6,3664
ISL1,3670
ZNF710,374655
ZNF699,374879
ZNF829,374899
ZNF568,374900
ZNF773,374928
CENPS,378708
ZKSCAN4,387032
TBPL2,387332
NANOGP8,388112
ZFHX3,463
ZNF728,388523
ZNF790,388536
ZNF808,388558
ZNF888,388559
ZNF470,388566
ZNF749,388567
ZNF324B,388569
SP5,389058
ZNF662,389114
LIN28B,389421
GTF2IRD2B,389524
FEZF1,389549
MAFA,389692
NKX1-2,390010
SKOR1,390598
ZNF793,390927
ZNF805,390980
HES3,390992
HELT,391723
LHX1,3975
FOXI2,399823
ZNF880,400713
ZNF772,400720
SOHLH1,402381
ZBTB34,403341
ARNT,405
LTF,4057
ARNTL,406
LYL1,4066
MXD1,4084
SMAD1,4086
SMAD4,4089
SMAD5,4090
SMAD9,4093
MAF,4094
MAZ,4150
MBD1,4152
MECP2,4204
KMT2A,4297
ASCL2,430
LHX8,431707
ZNF705A,440077
DBX2,440097
ZNF506,440515
ZNF724,440519
ETV3L,440695
ZNF716,441234
ZNF727,442319
FOXB2,442425
MYCL,4610
MYF5,4617
MYOD1,4654
MYOG,4656
ATF1,466
MYT1,4661
ATF3,467
ATOH1,474
NEUROG1,4762
NFATC1,4772
NFATC4,4776
NFE2L1,4779
NFIB,4781
NFX1,4799
NFYC,4802
NHLH2,4808
NKX2-2,4821
NME2,4831
NPAS1,4861
NPAS2,4862
YBX1,4904
ZBTB21,49854
SIX6,4990
OVOL1,5017
ARGFX,503582
PA2G4,5036
DPRX,503834
NEUROG3,50674
PAX2,5076
IRX4,50805
TBX22,50945
MTERF3,51001
ZNF691,51058
THAP4,51078
YBX2,51087
ZNF706,51123
ZNF580,51157
ZNF639,51193
ZNF219,51222
PHF20,51230
TFDP3,51270
KLF3,51274
ZNF571,51276
PHF21A,51317
ZNF771,51333
ZNF589,51385
ZNF107,51427
PRRX2,51450
ETV7,51513
CXXC5,51523
ZNF581,51545
ZNF44,51710
PEG3,5178
SIX4,51804
PGR,5241
PHF1,5252
PIN1,5300
PITX1,5307
PITX2,5308
PLAGL1,5325
PLAGL2,5326
BCL11A,53335
CPXCR1,53336
PLSCR1,5359
SOX18,54345
POU2AF1,5450
FBXL19,54620
HES2,54626
PPARA,5465
PPARD,5467
NKX1-1,54729
ZNF853,54753
TET2,54790
BNC2,54796
ZNF586,54807
ZNF562,54811
GATAD2A,54815
ZNF280D,54816
CC2D1A,54862
CASZ1,54897
ZSCAN32,54925
CHCHD3,54927
SOHLH2,54937
ZNF770,54989
ZSCAN2,54993
FEZF2,55079
ANKZF1,55139
ZNF532,55205
ZNF654,55279
BRF2,55290
ZNF444,55311
ZNF331,55422
HES6,55502
ZNF823,55552
SOX6,55553
ZNF821,55565
ZNF280C,55609
ZNF407,55628
ZNF692,55657
ZNF416,55659
ZNF446,55663
ZNF334,55713
ZFP64,55734
ZNF701,55762
ZNF83,55769
ZNF415,55786
TRERF1,55809
FOXJ2,55810
ASH1L,55870
ZKSCAN7,55888
MYNN,55892
ZNF395,55893
MESP1,55897
ZNF302,55900
NKRF,55922
THAP12,5612
ZNF253,56242
ASCL3,56676
SLC2A4RG,56731
BARHL1,56751
KCMF1,56888
THAP10,56906
ARNTL2,56938
PRDM8,56978
PRDM9,56979
PRDM10,56980
BBX,56987
BACH1,571
REXO4,57109
ZNF695,57116
SALL4,57167
ZNF248,57209
THAP11,57215
ZNF630,57232
ZNF286A,57335
ZNF287,57336
GATAD2B,57459
ZNF512B,57473
ZNF490,57474
PRR12,57479
ZNF608,57507
ZNF398,57541
ZNF624,57547
ZNF319,57567
ZNF471,57573
ZNF687,57592
EBF4,57593
HOMEZ,57594
ZNF492,57615
TSHZ3,57616
ZBTB2,57621
ZFAT,57623
POGK,57645
ZBTB4,57659
ZFP14,57677
ZBTB26,57684
ZNF317,57693
ZNF529,57711
RBAK,57786
HES4,57801
GRHL3,57822
PURA,5813
PURB,5814
NFE4,58160
ZBED5,58486
CREBZF,58487
ZNF71,58491
ZNF77,58492
OVOL2,58495
ZNF462,58499
ZNF250,58500
WIZ,58525
RAG1,5896
RARB,5915
RARG,5916
HIVEP3,59269
PRDM12,59335
PRDM13,59336
ZNF350,59348
RFX1,5989
RLF,6018
GPBP1L1,60313
BCL6,604
ALX4,60529
ZNF704,619279
RXRA,6256
SAFB,6294
SALL2,6297
SALL1,6299
SATB1,6304
ZNF335,63925
ZNF667,63934
DMRTC2,63946
DMRTB1,63948
DMRTA2,63950
DMRTA1,63951
NEUROD6,63974
PRDM16,63976
PRDM15,63977
PRDM14,63978
NPAS3,64067
ZNF674,641339
RBSN,64145
LHX5,64211
SCX,642658
ZNF487,642819
ZSCAN31,64288
SOX17,64321
HIF3A,64344
IKZF4,64375
IKZF5,64376
ZFP62,643836
GZF1,64412
DRGX,644168
NKX2-4,644524
CPEB1,64506
SEBOX,645832
BNC1,646
EBF2,64641
CSRNP1,64651
ASCL5,647219
SHOX2,6474
SMYD3,64754
ANHX,647589
ZNF574,64763
CREB3L2,64764
RFX7,64864
ZSCAN5C,649137
BCL11B,64919
SIM1,6492
SIM2,6493
SIX3,6496
SKI,6497
SKIL,6498
GPBP1,65056
ZFP69B,65243
ZNF649,65251
SKOR2,652991
ZBTB8A,653121
FOXD4L6,653404
FOXD4L5,653427
ZNF732,654254
ZSCAN18,65982
ZBTB10,65986
ZNF747,65988
C11orf95,65998
SNAI1,6615
SNAPC2,6618
SNAPC4,6621
SON,6651
SOX1,6656
SOX2,6657
SOX3,6658
SOX5,6660
SOX11,6664
SOX12,6666
SP100,6672
FOXL2,668
STAT2,6773
STAT4,6775
STAT5A,6776
STAT5B,6777
STAT6,6778
TBXT,6862
TAL1,6886
TAL2,6887
TBP,6908
TBX6,6911
TBX3,6926
TCF7,6932
TCF12,6938
TCF15,6939
ZNF354A,6940
TCF20,6942
TCF21,6943
TERF1,7013
TERF2,7014
TFDP2,7029
THRA,7067
THRB,7068
KLF10,7071
NKX2-1,7080
NR2E1,7101
TMF1,7110
NR2C1,7181
TRPS1,7227
TTF1,7270
BHLHA9,727857
RHOXF2B,727940
ZBTB8B,728116
OVOL3,728361
ZNF736,728927
ZNF705D,728957
ZNF878,729747
ZNF814,730051
ZNF726,730087
ZNF735,730291
RFX8,731220
UBP1,7342
MYRF,745
WT1,7490
XPA,7507
ZFP37,7539
ZBTB14,7541
ZFX,7543
ZFY,7544
ZIC2,7546
ZNF2,7549
ZNF3,7551
ZNF711,7552
ZNF7,7553
ZNF8,7554
ZNF10,7556
ZNF12,7559
ZNF14,7561
ZNF708,7562
ZNF16,7564
ZNF17,7565
ZNF18,7566
ZNF19,7567
ZNF20,7568
ZNF182,7569
ZNF22,7570
ZNF23,7571
ZNF26,7574
ZNF28,7576
ZSCAN20,7579
ZNF32,7580
ZNF33A,7581
ZNF33B,7582
ZNF35,7584
ZKSCAN1,7586
ZNF37A,7587
ZSCAN21,7589
ZNF41,7592
ZNF43,7594
ZNF45,7596
ZBTB25,7597
ZNF66,7617
ZNF69,7620
ZNF70,7621
ZNF74,7625
ZNF75D,7626
ZNF75A,7627
ZNF76,7629
ZNF79,7633
ZNF80,7634
ZNF84,7637
ZNF221,7638
ZNF85,7639
ZNF90,7643
ZNF91,7644
ZNF99,7652
ZNF222,7673
ZNF121,7675
ZNF124,7678
ZNF131,7690
ZNF132,7691
ZNF133,7692
ZNF134,7693
ZNF135,7694
ZNF136,7695
ZNF138,7697
ZNF140,7699
ZNF141,7700
ZNF142,7701
PCGF2,7703
ZBTB16,7704
ZNF146,7705
ZNF148,7707
ZBTB17,7709
ZNF154,7710
ZNF155,7711
ZNF157,7712
VEZF1,7716
ZNF165,7718
ZNF174,7727
ZNF175,7728
ZNF177,7730
ZNF180,7733
ZNF184,7738
ZSCAN26,7741
ZNF189,7743
ZKSCAN8,7745
ZSCAN9,7746
ZNF195,7748
ZNF200,7752
ZNF202,7753
ZNF205,7755
ZNF207,7756
ZNF208,7757
ZNF213,7760
ZNF214,7761
ZNF215,7762
ZNF217,7764
ZNF224,7767
ZNF225,7768
ZNF226,7769
ZNF227,7770
ZNF112,7771
ZNF229,7772
ZNF232,7775
ZNF236,7776
ZXDA,7789
PRDM2,7799
PAX8,7849
ZNF655,79027
ZNF426,79088
ZSCAN5A,79149
ZNF343,79175
ZNF576,79177
IRX6,79190
IRX3,79191
IRX1,79192
ZNF557,79230
ZXDC,79364
ZBED2,79413
ZNF329,79673
ZNF322,79692
ZMAT4,79698
ZNF768,79724
THAP9,79725
LIN28A,79727
ZNF419,79744
ZNF385D,79750
ZNF750,79755
ZNF668,79759
ZFHX4,79776
MTERF1,7978
ZNF665,79788
ZNF408,79797
CARF,79800
ZNF552,79818
ZBTB3,79842
ZNF669,79862
ZNF212,7988
ZNF671,79891
ZNF672,79894
ZNF613,79898
NANOG,79923
ZNF696,79943
ZNF442,79973
ZNF556,80032
CSRNP3,80034
ZNF606,80095
ZFP2,80108
ZNF614,80110
NR4A3,8013
ZNF703,80139
CENPT,80152
LHX3,8022
ZNF430,80264
MTERF2,80298
TET1,80312
ZKSCAN3,80317
CXXC4,80319
SP6,80320
ZSCAN16,80345
AKNA,80709
PBX4,80714
THAP7,80764
ZNF34,80778
ZNF436,80818
ZFP91,80829
HMGA2,8091
ALX1,8092
DPF3,8110
CSRNP2,81566
TIGD6,81789
ZNF611,81856
ZNF239,8187
DPF1,8193
ZNF93,81931
NCOA3,8202
GFI1B,8328
MXD3,83463
THAP2,83591
SOX7,83595
TFAP2D,83741
ZNF484,83744
SETDB2,83852
SOX14,8403
PCGF6,84108
EEA1,8411
ZNF394,84124
ZNF644,84146
ARID5B,84159
GTF2IRD2,84163
ZNF541,84215
FLYWCH1,84256
ZNF397,84307
ZBED3,84327
ZNF414,84330
ZNF528,84436
MSANTD4,84437
DOT1L,84444
ZNF333,84449
ZNF512,84450
L3MBTL3,84456
LCOR,84458
ZMAT1,84460
ZNF527,84503
ZC3H8,84524
ZNF559,84527
RHOXF2,84528
FOXN1,8456
ZBTB37,84614
ZGPAT,84619
KLF11,8462
