,gene/TF,region
1914259,CREB3L4,DLPFC
1914261,FOXQ1,DLPFC
1914262,CEBPA,DLPFC
1914263,EGR4,DLPFC
1914264,SIX5,DLPFC
1914265,ZIC2,DLPFC
1914267,JUN,DLPFC
1914272,MSX2,DLPFC
1914273,TAL1,DLPFC
2379104,NR1H4,DLPFC
2379180,STAT2,DLPFC
2379183,BPTF,DLPFC
2379214,PTF1A,DLPFC
2379218,DNMT1,DLPFC
2379223,ARID3B,DLPFC
2379224,ZNF589,DLPFC
2379225,ZIC3,DLPFC
2607309,NR2F1,DLPFC
2607319,MZF1,DLPFC
2607332,NPAS3,DLPFC
2607352,MIXL1,DLPFC
2607353,SMAD4,DLPFC
2607356,SREBF2,DLPFC
2607363,CREB1,DLPFC
2607366,NR2C2,DLPFC
2607372,MESP1,DLPFC
2607374,SMAD2,DLPFC
2607376,GRHL1,DLPFC
2607377,ARNT,DLPFC
2607382,BACH1,DLPFC
2607384,E2F4,DLPFC
2607385,CDX1,DLPFC
2607386,ATF2,DLPFC
2607387,DDIT3,DLPFC
2607388,ZNF232,DLPFC
2950127,NRF1,DLPFC
2950135,MAFG,DLPFC
2950138,TOPORS,DLPFC
2984300,ZNF76,DLPFC
3507507,FOXH1,DLPFC
3507512,SNAI3,DLPFC
3507533,FOXO6,DLPFC
3577971,GATA4,DLPFC
3577973,NR2F2,DLPFC
3800622,PHOX2A,DLPFC
3800675,STAT6,DLPFC
3852479,PPARG,DLPFC
3852481,PLAGL1,DLPFC
3852484,NFAT5,DLPFC
194725,ESR1,Hippocampus
194803,EVX1,Hippocampus
194809,FOXO3,Hippocampus
194848,FOXO4,Hippocampus
194872,FOXP3,Hippocampus
194895,MEF2D,Hippocampus
195013,MLXIPL,Hippocampus
195016,PAX9,Hippocampus
195035,POU2F2,Hippocampus
195069,RARA,Hippocampus
195219,RXRA,Hippocampus
195331,TAL1,Hippocampus
195361,TCF7L1,Hippocampus
195411,ZBTB7A,Hippocampus
313521,CEBPA,Hippocampus
313534,CLOCK,Hippocampus
313538,CREB1,Hippocampus
313544,FOSL2,Hippocampus
313561,HEY2,Hippocampus
313569,HIC2,Hippocampus
313597,MAFF,Hippocampus
313621,NR4A2,Hippocampus
313638,PKNOX2,Hippocampus
313665,TP53,Hippocampus
313699,ETV1,Hippocampus
313704,TEAD3,Hippocampus
313720,NR3C1,Hippocampus
313734,POU1F1,Hippocampus
313744,CUX2,Hippocampus
313745,RXRG,Hippocampus
313781,NFIX,Hippocampus
402034,CDX2,Hippocampus
402043,E2F4,Hippocampus
402073,FEV,Hippocampus
402091,HNF1B,Hippocampus
402099,HOXA2,Hippocampus
402104,HOXB13,Hippocampus
402109,HOXC11,Hippocampus
402112,NKX3-1,Hippocampus
402130,NR1H4,Hippocampus
402138,PHOX2A,Hippocampus
402142,PRDM1,Hippocampus
402176,RUNX2,Hippocampus
402210,TBX5,Hippocampus
402226,TBXT,Hippocampus
402233,TFAP4,Hippocampus
402241,TLX1,Hippocampus
402254,TP63,Hippocampus
402274,ZIC4,Hippocampus
402283,POU4F1,Hippocampus
402292,ZIC3,Hippocampus
402301,ESRRB,Hippocampus
